chave_unica;empresa;codigo;descricao;descricao_padrao;tipo_categoria;conta_inativa;definida_pelo_usuario;id_conta_contabil;tag_conta_contabil;conta_despesa;conta_receita;nao_exibir;natureza;totalizadora;transferencia;codigo_dre;categoria_superior
3Sa_0.01;3Sa;0.01;Transferência;Transferência;;N;N;;;N;N;S;;S;S;;0
3Sa_0.01.01;3Sa;0.01.01;Entrada de Transferência;Entrada de Transferência;;N;N;;;N;S;S;;N;S;;0.01
3Sa_0.01.02;3Sa;0.01.02;Saída de Transferência;Saída de Transferência;;N;N;;;S;N;S;;N;S;;0.01
3Sa_1.01;3Sa;1.01;Receitas Diretas;Receitas Diretas;;N;N;;;N;S;N;;S;N;;1
3Sa_1.01.01;3Sa;1.01.01;Clientes - Venda de Mercadoria Fabricadas;Clientes - Venda de Mercadoria Fabricadas;;S;N;;;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de vendas de produtos fabricados.;N;N;1.01.01;1.01
3Sa_1.01.02;3Sa;1.01.02;Administracao de Contratos;Clientes - Serviços Prestados;CSB;N;N;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de serviços prestados a clientes. Não utilizar caso existam produtos envolvidos na prestação de serviços.;N;N;1.11.01;1.01
3Sa_1.01.03;3Sa;1.01.03;Clientes - Revenda de Mercadoria;Clientes - Revenda de Mercadoria;;S;N;;;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de revendas de produtos.;N;N;1.01.01;1.01
3Sa_1.01.95;3Sa;1.01.95;Honorário Mensal - Societário;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;1.01.01;1.01
3Sa_1.01.96;3Sa;1.01.96;Honorários - Mensal;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;1.01.01;1.01
3Sa_1.01.97;3Sa;1.01.97;Recrutamento e Seleção;"&lt;Disponível&gt;";;N;S;;;N;S;N;Categoria criada para faturamento venda de recrutamento e seleção.;N;N;1.01.01;1.01
3Sa_1.01.98;3Sa;1.01.98;Receita com Infraestrutura;"&lt;Disponível&gt;";;N;S;3.2.5.01.00008;RECEITA COM INFRAESTRUTURA;N;S;N;;N;N;1.11.01;1.01
3Sa_1.01.99;3Sa;1.01.99;Receita com Pessoal;"&lt;Disponível&gt;";;N;S;3.2.5.01.00007;RECEITA COM PESSOAL;N;S;N;;N;N;1.11.01;1.01
3Sa_1.02;3Sa;1.02;Receitas Indiretas;Receitas Indiretas;;N;N;;;N;S;N;;S;N;;1
3Sa_1.02.01;3Sa;1.02.01;Dividendos Recebidos;Dividendos Recebidos;;S;N;;;N;S;S;Esta categoria deve ser utilizada para receitas provenientes de recebimento de lucros gerados por empresas das quais a sua empresa é dona, ou seja, se a sua empresa é dona ou acionista de outra empresa, quando você receber um repasse que seja originado exclusivamente de lucros gerados após todas as despesas diretas e indiretas pagas, você deve classificar nesta categoria.;N;N;1.11.01;1.02
