tenant_empresa;bairro;cep;cidade;cnae;cnae_municipal;cnpj;codigo_empresa;codigo_pais;complemento;csc_homologacao;csc_id_homologacao;csc_id_producao;csc_producao;ecd_codigo_cadastral;ecd_codigo_instituicao_responsavel;efd_atividade_industrial;efd_perfil_arquivo_fiscal;email;endereco;endereco_numero;estado;fax_ddd;fax_numero;gera_nfse;inativa;inscricao_estadual;inscricao_municipal;inscricao_suframa;logradouro;nome_fantasia;optante_simples_nacional;pdv_sincr_analitica;razao_social;regime_tributario;sped_codigo_criterio_escrituracao;sped_codigo_incidencia_tributaria;sped_codigo_indicador_apropriacao_credito;sped_codigo_tipo_atividade;sped_codigo_tipo_contribuicao;sped_cpf_contador;sped_crc_contador;sped_email_contador;sped_junta_comercial;sped_matriz;sped_natureza_pessoa_juridica;sped_nome_contador;sped_registro_junta_comercial;sped_usa_contabilidade_terceirizada;telefone1_ddd;telefone1_numero;telefone2_ddd;telefone2_numero;website
3Sa;Centro;88010-450;FLORIANOPOLIS (SC);8211300;;52.898.866/0001-65;1696826248;1058;BL B LJ 59 PARTE B5;;;;;;;;;financeiro@alldax.com;Rua Saldanha Marinho;374;SC;;;S;N;;822.826-1;;;3S/A SERVICOS ADMINISTRATIVOS LTDA;S;;3S/A SERVICOS ADMINISTRATIVOS LTDA;1;;;;;;;;;;;;;;;61;99822-7341;;;
Alldax 2;ASA SUL;70330-520;BRASILIA (DF);6920601;;19.434.956/0001-20;2129910835;1058;LOJA 59 PARTE A;;;;;;;;;domingos.afonso@alldax.com;Q CRS 502 BLOCO B;S/N;DF;;;S;N;0766683100146;0766683100146;;;ALLDAX ASSESSORIA E CONTABILIDADE;S;;ALLDAX ASSESSORIA E CONTABILIDADE LTDA;1;;;;;;;;;;;;;;;61;30313100;;;
Alldax 3;ASA SUL;70330-520;BRASILIA (DF);6920601;;41.246.946/0001-10;2302812017;1058;LOJA 59 PARTE Q1;;;;;;;;;societario@alldax.com;Q CRS 502 BLOCO B;S/N;DF;;;S;N;0804241200109;0804241200109;;;ALLDAX CONSULTORIA E TECNOLOGIA;N;;ALLDAX CONSULTORIA E TECNOLOGIA LTDA;3;;;;;;;;;;;;;;;61;3031-3100;;;
Alldax 4;CENTRO;88015-300;FLORIANOPOLIS (SC);6920601;;52.936.512/0001-68;4886496356;1058;ANDAR 5                   SALA  501;;;;;;;;;marina.ferreira@alldax.com;AVENIDA TROMPOWSKY;354;SC;;;;N;;;;;ALLDAX SERVICOS ADMINISTRATIVOS LTDA;N;;ALLDAX SERVICOS ADMINISTRATIVOS LTDA;3;;;;;;;;;;;;;;;61;99822-7341;;;
Alldax 1;ASA SUL;70330-520;BRASILIA (DF);6920601;;08.880.518/0001-79;3712651757;1058;LOJA 59 TERREO. SUBSL .;;;;;;;;;alldax@alldax.com;Q CRS 502 BLOCO B;S/N;DF;;;S;N;0748850700158;0748850700158;;;ALLDAX SERVICOS EMPRESARIAIS;N;;ALLDAX SERVICOS EMPRESARIAIS LTDA;3;;;;;;;;;;;;;;;61;3031-3100;;;
Gran_Ilha;ASA SUL;70330-520;BRASILIA (DF);6622300;;18.563.901/0001-57;1952569727;1058;LOJA 59 PARTE F;;;;;;;;;societario@alldax.com;Q CRS 502 BLOCO B;S/N;DF;;;N;N;07651543001-35;07651543001-35;;;GRAN ILHA;S;;GRAN ILHA CORRETORA DE SEGUROS E PREVIDENCIA LTDA;1;;;;;;;;;;;;;;;61;3031-3100;;;
Laurent;Asa Sul;70330-520;BRASILIA (DF);6920602;;34.773.712/0001-65;4067482217;1058;Ed Brafer;;;;;;;;;financeiro@alldax.com;CRS Quadra 502, Bloco B, Loja 59, Parte G;59;DF;;;N;N;;;;;LAURENT PARTICIPAÇÕES SOCIETÁRIAS LTDA;S;;LAURENT PARTICIPAÇÕES SOCIETÁRIAS LTDA;1;;;;;;;;;;;;;;;;;;;
Tax All Santa Catarina;CAPOEIRAS;88085-110;FLORIANOPOLIS (SC);6920601;;44.519.768/0001-41;5372853159;1058;SALA 414 IS 01;;;;;;;;;negocios@taxall.com.br;R CAMPOLINO ALVES;300;SC;;;S;N;;8168677;;;TAX ALL ADMINISTRACAO E OPERACOES;S;;TAX ALL ADMINISTRACAO E OPERACOES LTDA;1;;;;;;;;;;;;;;;61;30313100;;;
Tax All Brasilia;ASA SUL;70330-520;BRASILIA (DF);6920602;;18.619.561/0001-39;1316052057;1058;LOJA 59 PARTE B1;;;;;;;;;negocios@taxall.com.br;Q CRS 502 BLOCO B;S/N;DF;;;S;N;0765332500135;0765332500135;;;TAX ALL CONSULTORIA E CONTABILIDADE;N;;TAX ALL CONSULTORIA E PLANEJAMENTO TRIBUTARIO S/S LTDA;3;;;;;;;;;;;;;;;61;30313095;;;
Tax All Salvador;CAMINHO DAS ARVORES;41820-022;SALVADOR (BA);6920602;;35.724.005/0001-41;1838041110;1058;EDIF BOULEVARD SIDE EMPRESARIAL SALA 2104;;;;;;;;;negocios@taxall.com.br;RUA EWERTON VISCO;290;BA;;;S;N;;00.912.586/001-61;;;TAX ALL CONSULTORIA E PLANEJAMENTO TRIBUTARIO;N;;TAX ALL CONSULTORIA E PLANEJAMENTO TRIBUTARIO S/S LTDA;3;;;;;;;;;;;;;;;61;98215-5485;;;
